Time [s],Value
0.2844874140,0x0D9
0.2844977560,0x0D8
0.2845081020,0x0D7
0.2845184440,0x0D6
0.2845287880,0x0D5
0.2845391300,0x0D4
0.2845494740,0x0D3
0.2845598180,0x0D2
0.2845701600,0x0D1
0.2845805040,0x0D0
0.2845908480,0x0CF
0.2846011920,0x0CE
0.2846115340,0x0CD
0.2846218780,0x0CC
0.2846322220,0x0CB
0.2846425640,0x0CA
0.2846529080,0x0C9
0.2846632520,0x0C8
0.2846735960,0x0C7
0.2846839380,0x0C6
0.2846942820,0x0C5
0.2847046260,0x0C4
0.2847149700,0x0C3
0.2847253120,0x0C2
0.2847356560,0x0C1
0.2847460000,0x0C0
0.2847563440,0x0BF
0.2847666860,0x0BE
0.2847770300,0x0BD
0.2847873720,0x0BC
0.2847977160,0x0BB
0.2848080600,0x0BA
0.2848184020,0x0B9
0.2848287460,0x0B8
0.2848390900,0x0B7
0.2848494320,0x0B6
0.2848597760,0x0B5
0.2848701200,0x0B4
0.2848804640,0x0B3
0.2848908060,0x0B2
0.2849011500,0x0B1
0.2849114940,0x0B0
0.2849218380,0x0AF
0.2849321800,0x0AE
0.2849425240,0x0AD
0.2849528680,0x0AC
0.2849632100,0x0AB
0.2849735540,0x0AA
0.2849838980,0x0A9
0.2849942420,0x0A8
0.2850045860,0x0A7
0.2850149280,0x0A6
0.2850252720,0x0A5
0.2850356140,0x0A4
0.2850459580,0x0A3
0.2850563020,0x0A2
0.2850666440,0x0A1
0.2850769880,0x0A0
0.2850873340,0x09F
0.2850976760,0x09E
0.2851080200,0x09D
0.2851183620,0x09C
0.2851287060,0x09B
0.2851390480,0x09A
0.2851493920,0x099
0.2851597360,0x098
0.2851700800,0x097
0.2851804220,0x096
0.2851907660,0x095
0.2852011100,0x094
0.2852114520,0x093
0.2852217960,0x092
0.2852321400,0x091
0.2852424840,0x090
0.2852528280,0x08F
0.2852631700,0x08E
0.2852735140,0x08D
0.2852838560,0x08C
0.2852942000,0x08B
0.2853045440,0x08A
0.2853148880,0x089
0.2853252300,0x088
0.2853355740,0x087
0.2853459180,0x086
0.2853562600,0x085
0.2853666040,0x084
0.2853769480,0x083
0.2853872900,0x082
0.2853976340,0x081
0.2854079780,0x080
0.2854183240,0x07F
0.2854286640,0x07E
0.2854390080,0x07D
0.2854493520,0x07C
0.2854596960,0x07B
0.2854700380,0x07A
0.2854803820,0x079
0.2854907240,0x078
0.2855010700,0x077
0.2855114120,0x076
0.2855217560,0x075
0.2855320980,0x074
0.2855424420,0x073
0.2855527860,0x072
0.2855631300,0x071
0.2855734720,0x070
0.2855838160,0x06F
0.2855941600,0x06E
0.2856045020,0x06D
0.2856148460,0x06C
0.2856251900,0x06B
0.2856355340,0x06A
0.2856458760,0x069
0.2856562200,0x068
0.2856665640,0x067
0.2856769060,0x066
0.2856872500,0x065
0.2856975940,0x064
0.2857079380,0x063
0.2857182800,0x062
0.2857286240,0x061
0.2857389680,0x060
0.2857493120,0x05F
0.2857596540,0x05E
0.2857699980,0x05D
0.2857803400,0x05C
0.2857906840,0x05B
0.2858010280,0x05A
0.2858113700,0x059
0.2858217140,0x058
0.2858320580,0x057
0.2858424020,0x056
0.2858527440,0x055
0.2858630880,0x054
0.2858734320,0x053
0.2858837740,0x052
0.2858941180,0x051
0.2859044620,0x050
0.2859148060,0x04F
0.2859251480,0x04E
0.2859354920,0x04D
0.2859458360,0x04C
0.2859561800,0x04B
0.2859665220,0x04A
0.2859768660,0x049
0.2859872100,0x048
0.2859975520,0x047
0.2860078960,0x046
0.2860182400,0x045
0.2860285840,0x044
0.2860389260,0x043
0.2860492700,0x042
0.2860596140,0x041
0.2860699560,0x040
0.2860803020,0x03F
0.2860906440,0x03E
0.2861009880,0x03D
0.2861113300,0x03C
0.2861216740,0x03B
0.2861320160,0x03A
0.2861423600,0x039
0.2861527040,0x038
0.2861630480,0x037
0.2861733900,0x036
0.2861837340,0x035
0.2861940780,0x034
0.2862044220,0x033
0.2862147640,0x032
0.2862251080,0x031
0.2862354520,0x030
0.2862457960,0x02F
0.2862561380,0x02E
0.2862664820,0x02D
0.2862768260,0x02C
0.2862871680,0x02B
0.2862975120,0x02A
0.2863078560,0x029
0.2863181980,0x028
0.2863285440,0x027
0.2863388840,0x026
0.2863492300,0x025
0.2863595720,0x024
0.2863699160,0x023
0.2863802600,0x022
0.2863906020,0x021
0.2864009460,0x020
0.2864112920,0x01F
0.2864216340,0x01E
0.2864319760,0x01D
0.2864423200,0x01C
0.2864526640,0x01B
0.2864630060,0x01A
0.2864733500,0x019
0.2864836940,0x018
0.2864940380,0x017
0.2865043800,0x016
0.2865147240,0x015
0.2865250660,0x014
0.2865354120,0x013
0.2865457540,0x012
0.2865560980,0x011
0.2865664400,0x010
0.2865767860,0x00F
0.2865871280,0x00E
0.2865974700,0x00D
0.2866078140,0x00C
0.2866181580,0x00B
0.2866285020,0x00A
0.2866388440,0x009
0.2866491880,0x008
0.2866595320,0x007
0.2866698740,0x006
0.2866802180,0x005
0.2866905620,0x004
0.2867009060,0x003
0.2867112480,0x002
0.2867215920,0x001
0.2867319360,0x000
0.2867526220,0x001
0.2867629660,0x002
0.2867733100,0x003
0.2867836520,0x004
0.2867939960,0x005
0.2868043400,0x006
0.2868146840,0x007
0.2868250260,0x008
0.2868353700,0x009
0.2868457140,0x00A
0.2868560560,0x00B
0.2868664000,0x00C
0.2868767440,0x00D
0.2868870860,0x00E
0.2868974300,0x00F
0.2869077740,0x010
0.2869181180,0x011
0.2869284600,0x012
0.2869388040,0x013
0.2869491480,0x014
0.2869594900,0x015
0.2869698340,0x016
0.2869801780,0x017
0.2869905220,0x018
0.2870008640,0x019
0.2870112080,0x01A
0.2870215520,0x01B
0.2870318940,0x01C
0.2870422380,0x01D
0.2870525820,0x01E
0.2870629240,0x01F
0.2870732700,0x020
0.2870836120,0x021
0.2870939560,0x022
0.2871042980,0x023
0.2871146420,0x024
0.2871249860,0x025
0.2871353300,0x026
0.2871456720,0x027
0.2871560160,0x028
0.2871663600,0x029
0.2871767020,0x02A
0.2871870460,0x02B
0.2871973900,0x02C
0.2872077320,0x02D
0.2872180760,0x02E
0.2872284200,0x02F
0.2872387640,0x030
0.2872491080,0x031
0.2872594500,0x032
0.2872697940,0x033
0.2872801380,0x034
0.2872904800,0x035
0.2873008240,0x036
0.2873111660,0x037
0.2873215100,0x038
0.2873318540,0x039
0.2873421980,0x03A
0.2873525400,0x03B
0.2873628840,0x03C
0.2873732280,0x03D
0.2873835720,0x03E
0.2873939140,0x03F
0.2874042600,0x040
0.2874146020,0x041
0.2874249440,0x042
0.2874352880,0x043
0.2874456320,0x044
0.2874559760,0x045
0.2874663180,0x046
0.2874766620,0x047
0.2874870060,0x048
0.2874973480,0x049
0.2875076920,0x04A
0.2875180360,0x04B
0.2875283800,0x04C
0.2875387220,0x04D
0.2875490660,0x04E
0.2875594100,0x04F
0.2875697540,0x050
0.2875800960,0x051
0.2875904400,0x052
0.2876007820,0x053
0.2876111260,0x054
0.2876214700,0x055
0.2876318120,0x056
0.2876421560,0x057
0.2876525000,0x058
0.2876628440,0x059
0.2876731860,0x05A
0.2876835300,0x05B
0.2876938740,0x05C
0.2877042160,0x05D
0.2877145600,0x05E
0.2877249040,0x05F
0.2877352480,0x060
0.2877455900,0x061
0.2877559340,0x062
0.2877662780,0x063
0.2877766200,0x064
0.2877869640,0x065
0.2877973080,0x066
0.2878076520,0x067
0.2878179940,0x068
0.2878283380,0x069
0.2878386820,0x06A
0.2878490260,0x06B
0.2878593680,0x06C
0.2878697120,0x06D
0.2878800540,0x06E
0.2878904000,0x06F
0.2879007420,0x070
0.2879110860,0x071
0.2879214280,0x072
0.2879317720,0x073
0.2879421160,0x074
0.2879524580,0x075
0.2879628020,0x076
0.2879731460,0x077
0.2879834900,0x078
0.2879938320,0x079
0.2880041760,0x07A
0.2880145200,0x07B
0.2880248640,0x07C
0.2880352060,0x07D
0.2880455500,0x07E
0.2880558940,0x07F
0.2880662380,0x080
0.2880765800,0x081
0.2880869240,0x082
0.2880972680,0x083
0.2881076100,0x084
0.2881179540,0x085
0.2881282980,0x086
0.2881386400,0x087
0.2881489840,0x088
0.2881593280,0x089
0.2881696700,0x08A
0.2881800140,0x08B
0.2881903580,0x08C
0.2882007020,0x08D
0.2882110440,0x08E
0.2882213880,0x08F
0.2882317320,0x090
0.2882420740,0x091
0.2882524180,0x092
0.2882627620,0x093
0.2882731040,0x094
0.2882834480,0x095
0.2882937920,0x096
0.2883041360,0x097
0.2883144780,0x098
0.2883248220,0x099
0.2883351660,0x09A
0.2883455100,0x09B
0.2883558520,0x09C
0.2883661960,0x09D
0.2883765380,0x09E
0.2883868820,0x09F
0.2883972260,0x0A0
0.2884075700,0x0A1
0.2884179140,0x0A2
0.2884282560,0x0A3
0.2884386000,0x0A4
0.2884489420,0x0A5
0.2884592860,0x0A6
0.2884696300,0x0A7
0.2884799740,0x0A8
0.2884903160,0x0A9
0.2885006600,0x0AA
0.2885110040,0x0AB
0.2885213460,0x0AC
0.2885316920,0x0AD
0.2885420340,0x0AE
0.2885523780,0x0AF
0.2885627220,0x0B0
0.2885730640,0x0B1
0.2885834080,0x0B2
0.2885937520,0x0B3
0.2886040940,0x0B4
0.2886144380,0x0B5
0.2886247820,0x0B6
0.2886351240,0x0B7
0.2886454680,0x0B8
0.2886558120,0x0B9
0.2886661560,0x0BA
0.2886764980,0x0BB
0.2886868420,0x0BC
0.2886971860,0x0BD
0.2887075280,0x0BE
0.2887178720,0x0BF
0.2887282160,0x0C0
0.2887385600,0x0C1
0.2887489020,0x0C2
0.2887592460,0x0C3
0.2887695880,0x0C4
0.2887799320,0x0C5
0.2887902760,0x0C6
0.2888006200,0x0C7
0.2888109640,0x0C8
0.2888213060,0x0C9
0.2888316500,0x0CA
0.2888419940,0x0CB
0.2888523360,0x0CC
0.2888626800,0x0CD
0.2888730240,0x0CE
0.2888833660,0x0CF
0.2888937120,0x0D0
0.2889040540,0x0D1
0.2889143960,0x0D2
0.2889247400,0x0D3
0.2889350840,0x0D4
0.2889454280,0x0D5
0.2889557700,0x0D6
0.2889661140,0x0D7
0.2889764580,0x0D8
0.2889868020,0x0D9
0.2889971440,0x0DA
0.2890074880,0x0DB
0.2890178300,0x0DC
0.2890281740,0x0DD
0.2890385180,0x0DE
0.2890488620,0x0DF
0.2890592060,0x0E0
0.2890695480,0x0E1
0.2890798920,0x0E2
0.2890902360,0x0E3
0.2891005780,0x0E4
0.2891109220,0x0E5
0.2891212660,0x0E6
0.2891316080,0x0E7
0.2891419520,0x0E8
0.2891522960,0x0E9
0.2891626400,0x0EA
0.2891729820,0x0EB
0.2891833260,0x0EC
0.2891936700,0x0ED
0.2892040120,0x0EE
0.2892143560,0x0EF
0.2892247000,0x0F0
0.2892350440,0x0F1
0.2892453860,0x0F2
0.2892557300,0x0F3
0.2892660740,0x0F4
0.2892764180,0x0F5
0.2892867600,0x0F6
0.2892971040,0x0F7
0.2893074480,0x0F8
0.2893177900,0x0F9
0.2893281340,0x0FA
0.2893384780,0x0FB
0.2893488200,0x0FC
0.2893591640,0x0FD
0.2893695080,0x0FE
0.2893798520,0x0FF
0.2893901980,0x100
0.2894005380,0x101
0.2894108820,0x102
0.2894212240,0x103
0.2894315680,0x104
0.2894419120,0x105
0.2894522540,0x106
0.2894625980,0x107
0.2894729420,0x108
0.2894832860,0x109
0.2894936280,0x10A
0.2895039720,0x10B
0.2895143160,0x10C
0.2895246580,0x10D
0.2895350020,0x10E
0.2895453460,0x10F
0.2895556900,0x110
0.2895660320,0x111
0.2895763760,0x112
0.2895867200,0x113
0.2895970640,0x114
0.2896074060,0x115
0.2896177500,0x116
0.2896280920,0x117
0.2896384360,0x118
0.2896487800,0x119
0.2896591240,0x11A
0.2896694660,0x11B
0.2896798100,0x11C
0.2896901540,0x11D
0.2897004960,0x11E
0.2897108400,0x11F
0.2897211840,0x120
0.2897315280,0x121
0.2897418700,0x122
0.2897522140,0x123
0.2897625580,0x124
0.2897729000,0x125
0.2897832440,0x126
0.2897935880,0x127
0.2898039320,0x128
0.2898142740,0x129
0.2898246180,0x12A
0.2898349620,0x12B
0.2898453060,0x12C
0.2898556480,0x12D
0.2898659920,0x12E
0.2898763340,0x12F
0.2898866780,0x130
0.2898970220,0x131
0.2899073640,0x132
0.2899177100,0x133
0.2899280520,0x134
0.2899383960,0x135
0.2899487380,0x136
0.2899590820,0x137
0.2899694260,0x138
0.2899797700,0x139
0.2899901120,0x13A
0.2900004560,0x13B
0.2900108000,0x13C
0.2900211440,0x13D
0.2900314860,0x13E
0.2900418300,0x13F
0.2900521740,0x140
0.2900625160,0x141
0.2900728600,0x142
0.2900832040,0x143
0.2900935460,0x144
0.2901038900,0x145
0.2901142340,0x146
0.2901245780,0x147
0.2901349200,0x148
0.2901452640,0x149
0.2901556080,0x14A
0.2901659500,0x14B
0.2901762940,0x14C
0.2901866380,0x14D
0.2901969800,0x14E
0.2902073240,0x14F
0.2902176680,0x150
0.2902280120,0x151
0.2902383560,0x152
0.2902486980,0x153
0.2902590420,0x154
0.2902693840,0x155
0.2902797280,0x156
0.2902900720,0x157
0.2903004160,0x158
0.2903107580,0x159
0.2903211020,0x15A
0.2903314460,0x15B
0.2903417880,0x15C
0.2903521320,0x15D
0.2903624760,0x15E
0.2903728200,0x15F
0.2903831640,0x160
0.2903935060,0x161
0.2904038500,0x162
0.2904141940,0x163
0.2904245360,0x164
0.2904348800,0x165
0.2904452240,0x166
0.2904555660,0x167
0.2904659100,0x168
0.2904762540,0x169
0.2904865960,0x16A
0.2904969400,0x16B
0.2905072840,0x16C
0.2905176260,0x16D
0.2905279700,0x16E
0.2905383140,0x16F
0.2905486580,0x170
0.2905590020,0x171
0.2905693440,0x172
0.2905796880,0x173
0.2905900320,0x174
0.2906003740,0x175
0.2906107180,0x176
0.2906210620,0x177
0.2906314040,0x178
0.2906417480,0x179
0.2906520920,0x17A
0.2906624360,0x17B
0.2906727780,0x17C
0.2906831220,0x17D
0.2906934660,0x17E
0.2907038080,0x17F
0.2907141540,0x180
0.2907244960,0x181
0.2907348400,0x182
0.2907451820,0x183
0.2907555260,0x184
0.2907658700,0x185
0.2907762120,0x186
0.2907865560,0x187
0.2907969000,0x188
0.2908072420,0x189
0.2908175860,0x18A
0.2908279300,0x18B
0.2908382720,0x18C
0.2908486160,0x18D
0.2908589600,0x18E
0.2908693040,0x18F
0.2908796480,0x190
0.2908899900,0x191
0.2909003340,0x192
0.2909106760,0x193
0.2909210200,0x194
0.2909313640,0x195
0.2909417080,0x196
0.2909520500,0x197
0.2909623940,0x198
0.2909727380,0x199
0.2909830800,0x19A
0.2909934240,0x19B
0.2910037680,0x19C
0.2910141120,0x19D
0.2910244540,0x19E
0.2910347980,0x19F
0.2910451420,0x1A0
0.2910554860,0x1A1
0.2910658280,0x1A2
0.2910761720,0x1A3
0.2910865140,0x1A4
0.2910968600,0x1A5
0.2911072020,0x1A6
0.2911175460,0x1A7
0.2911278900,0x1A8
0.2911382320,0x1A9
0.2911485760,0x1AA
0.2911589180,0x1AB
0.2911692620,0x1AC
0.2911796060,0x1AD
0.2911899500,0x1AE
0.2912002920,0x1AF
0.2912106360,0x1B0
0.2912209800,0x1B1
0.2912313220,0x1B2
0.2912416660,0x1B3
0.2912520100,0x1B4
0.2912623540,0x1B5
0.2912726960,0x1B6
0.2912830400,0x1B7
0.2912933840,0x1B8
0.2913037280,0x1B9
0.2913140700,0x1BA
0.2913244140,0x1BB
0.2913347580,0x1BC
0.2913451000,0x1BD
0.2913554440,0x1BE
0.2913657880,0x1BF
0.2913761320,0x1C0
0.2913864740,0x1C1
0.2913968180,0x1C2
0.2914071620,0x1C3
0.2914175040,0x1C4
0.2914278480,0x1C5
0.2914381920,0x1C6
0.2914485340,0x1C7
0.2914588780,0x1C8
0.2914692220,0x1C9
0.2914795640,0x1CA
0.2914899080,0x1CB
0.2915002520,0x1CC
0.2915105960,0x1CD
0.2915209380,0x1CE
0.2915312820,0x1CF
0.2915416260,0x1D0
0.2915519700,0x1D1
0.2915623120,0x1D2
0.2915726560,0x1D3
0.2915830000,0x1D4
0.2915933420,0x1D5
0.2916036860,0x1D6
0.2916140300,0x1D7
0.2916243740,0x1D8
0.2916347160,0x1D9
0.2916450600,0x1DA
0.2916554020,0x1DB
0.2916657480,0x1DC
0.2916760900,0x1DD
0.2916864340,0x1DE
0.2916967760,0x1DF
0.2917071200,0x1E0
0.2917174640,0x1E1
0.2917278080,0x1E2
0.2917381500,0x1E3
